2,1,28,1,0,18,2
0,0,52,1,0,207,0
2,0,34,0,0,41,2
0,0,48,1,0,189,2
2,1,48,0,0,43,2
2,1,39,0,0,51,1
0,1,70,0,0,186,2
2,1,6,3,1,124,2
2,0,35,0,2,74,2
1,0,18,1,0,154,0
2,0,8,1,1,110,2
0,0,75,0,0,143,2
2,1,25,0,0,43,2
2,1,53,1,5,158,2
2,0,18,0,0,36,2
1,0,71,0,0,108,2
2,1,6,4,1,151,1
1,1,39,0,0,85,2
2,0,42,1,0,113,2
2,0,39,0,0,16,0
1,1,48,0,0,138,2
1,1,46,0,0,85,2
2,0,20,0,0,42,1
0,1,36,0,0,168,2
2,0,12,3,1,124,2
2,0,52,1,5,159,2
2,1,39,0,0,16,0
0,1,24,3,2,246,2
2,0,39,0,0,38,1
2,1,39,0,0,40,2
0,1,54,0,0,145,0
0,0,39,1,0,236,0
2,0,39,0,0,30,1
1,1,83,0,0,72,2
0,1,36,1,0,220,0
0,1,57,1,0,187,2
2,1,39,0,0,17,0
2,1,27,0,0,43,2
2,0,23,2,0,113,2
2,0,18,1,0,75,0
2,0,54,1,0,62,2
1,0,35,1,0,123,2
2,1,39,0,0,40,0
1,0,7,1,2,177,0
2,0,24,0,0,38,1
2,1,39,0,0,43,2
2,1,39,1,0,102,1
2,0,39,0,0,30,1
2,1,39,2,0,125,0
2,0,23,1,0,112,2
2,1,11,4,1,175,2
2,1,27,0,0,34,2
0,0,65,1,0,211,0
1,0,38,1,0,138,2
0,1,82,0,1,200,0
0,1,39,0,0,168,2
1,0,27,0,0,72,2
2,1,37,0,0,17,0
1,0,9,1,2,146,2
2,1,15,5,2,179,2
2,1,28,0,0,17,0
0,0,52,0,0,218,3
0,1,60,1,0,222,2
2,1,8,3,2,147,2
0,1,39,0,0,145,0
2,1,39,1,1,101,0
1,0,38,0,0,72,2
2,1,24,0,0,46,2
2,0,22,4,2,41,2
2,1,34,2,0,54,2
1,1,43,0,0,72,2
2,0,21,5,2,179,2
1,1,27,0,0,208,2
2,1,34,1,0,94,0
2,1,43,0,0,193,2
2,1,33,0,0,24,2
2,1,39,0,0,40,2
2,1,39,0,0,43,2
1,1,3,0,2,150,2
2,0,40,0,0,81,2
2,1,28,0,0,58,2
2,1,38,0,0,64,2
2,0,39,0,0,32,1
0,1,36,0,0,180,2
1,0,22,0,0,72,2
2,0,45,3,0,106,2
2,1,21,1,3,165,2
2,1,39,0,0,43,2
0,0,29,3,2,246,2
2,1,31,0,0,43,2
2,1,38,0,0,43,2
2,1,25,0,0,36,2
0,1,62,1,0,198,2
2,1,34,1,2,122,2
2,1,76,0,0,18,2
2,1,39,0,0,43,2
0,1,86,0,0,166,0
0,1,29,0,1,201,0
1,0,46,0,1,129,2
1,1,46,1,0,138,2
2,0,36,0,0,40,2
2,1,39,0,0,40,2
0,1,27,0,1,212,2
2,1,45,0,0,53,2
2,1,51,2,0,41,2
2,1,36,0,0,40,2
2,0,27,0,0,24,2
2,1,39,0,0,31,2
2,1,52,0,0,40,2
2,0,39,1,0,133,1
0,1,63,0,0,187,2
2,0,19,1,0,94,0
2,1,28,0,0,43,2
2,0,25,1,0,66,2
2,0,22,0,0,95,0
2,1,27,0,0,41,2
2,1,85,0,0,30,1
1,1,38,1,0,123,2
0,1,31,0,1,244,0
2,0,6,4,2,158,2
1,1,27,2,0,208,2
2,1,39,0,0,43,2
1,1,44,1,0,154,0
1,0,44,0,0,85,2
0,1,70,0,1,212,2
2,1,16,1,0,75,0
2,1,39,0,0,30,1
2,1,31,0,0,15,2
2,0,39,1,1,127,0
2,1,60,0,0,10,2
2,1,45,0,0,40,0
2,1,25,0,0,12,2
2,0,63,1,0,96,2
1,0,38,1,0,138,2
1,1,33,0,0,85,2
1,1,29,0,0,98,0
0,0,24,0,2,140,2
0,1,51,1,0,189,2
2,1,21,0,0,59,2
0,1,31,0,0,216,0
2,0,39,0,2,101,0
2,0,28,0,0,30,2
2,0,31,1,0,106,2
2,1,24,0,0,7,1
1,1,23,0,0,76,2
1,1,24,1,1,169,2
2,1,35,0,0,33,2
2,0,13,2,2,165,2
1,1,50,0,2,138,2
1,1,57,0,0,85,2
1,1,67,0,0,82,2
0,0,28,1,0,203,2
2,1,72,0,0,43,2
2,1,55,0,2,96,2
2,1,39,0,0,19,2
0,1,67,0,1,199,0
2,0,21,0,0,27,1
2,1,40,0,0,43,2
2,1,39,0,0,54,2
2,1,39,6,2,205,2
2,1,59,0,1,109,2
1,0,54,0,0,105,2
2,1,34,0,0,31,2
2,1,22,0,0,54,2
2,1,5,4,1,175,2
2,1,13,0,2,121,2
0,0,39,0,1,190,2
2,0,60,1,4,147,2
0,1,39,0,0,136,2
2,1,36,0,0,193,2
0,1,78,0,0,163,2
2,1,8,4,1,151,1
2,0,5,1,1,74,2
2,1,27,0,0,41,2
0,1,73,0,0,156,0
2,1,23,1,1,36,2
2,1,39,3,1,134,2
0,0,66,0,0,149,0
1,1,40,0,0,85,2
2,1,49,0,0,0,2
2,0,39,6,2,205,2
1,1,39,0,0,99,0
2,1,13,4,2,159,2
1,1,5,2,1,172,2
2,0,8,0,2,126,2
0,1,39,0,0,183,2
2,0,39,1,0,102,1
0,1,60,0,0,143,2
2,1,54,1,1,102,1
2,1,49,0,0,40,2
1,0,43,0,0,85,2
1,1,24,0,0,85,2
2,0,24,1,0,36,2
1,1,7,1,1,138,2
0,0,59,0,0,145,0
0,0,75,0,0,236,0
2,1,39,0,0,30,1
2,1,57,0,1,49,2
2,0,39,0,0,30,1
1,0,31,0,0,85,2
2,1,36,0,0,64,2
2,1,39,6,2,205,2
2,1,46,0,0,6,2
2,1,61,0,0,16,0
2,1,23,0,0,43,2
2,0,6,0,1,71,2
2,1,43,1,0,106,2
2,1,34,0,0,115,0
2,0,21,0,0,30,1
0,1,54,0,0,157,0
2,1,31,0,0,12,2
1,0,48,0,0,123,2
2,1,28,0,0,18,2
1,1,40,0,0,85,2
2,1,39,1,0,30,1
0,0,42,1,0,231,0
2,0,35,0,0,41,2
1,1,57,1,0,144,2
0,0,43,0,0,210,0
1,1,40,0,0,72,2
2,1,21,0,0,43,2
1,1,35,0,0,85,2
2,1,67,0,0,43,2
2,1,39,0,0,40,2
0,1,52,1,0,225,2
2,1,28,0,0,61,2
1,1,24,0,0,72,2
2,1,26,0,0,18,2
1,1,23,0,0,85,2
2,0,39,3,1,134,2
0,0,48,1,0,222,2
2,1,38,0,0,31,2
1,1,76,0,0,87,2
2,0,9,4,2,159,2
1,1,31,0,0,72,2
2,0,39,0,0,22,2
1,1,59,1,0,138,2
1,0,12,0,2,139,2
1,1,24,0,0,72,2
1,1,45,0,0,78,2
2,0,39,1,0,94,0
2,0,39,1,0,102,1
1,1,38,0,0,72,2
2,1,28,0,0,14,2
2,1,40,0,0,16,0
0,1,59,2,0,225,1
2,0,33,0,0,31,2
1,0,31,0,2,96,2
0,1,51,1,1,188,2
1,1,70,1,0,138,2
2,1,39,0,0,18,2
2,0,38,1,1,71,2
0,1,79,0,0,143,2
2,1,40,1,0,109,2
2,0,56,0,2,119,2
2,0,38,0,2,101,0
0,0,39,0,0,216,0
0,0,40,0,0,223,2
0,0,48,0,0,247,0
1,0,66,0,1,138,2
2,1,39,0,0,30,1
2,1,7,4,2,159,2
0,1,68,1,1,217,2
0,1,54,0,0,0,2
2,0,39,0,0,30,1
1,1,49,0,0,72,2
2,1,21,4,1,175,2
2,1,33,1,0,31,2
0,0,75,0,1,238,2
0,0,48,0,0,235,2
0,1,39,0,0,157,2
2,1,33,0,0,0,2
1,0,56,0,1,117,2
0,1,51,0,1,152,0
2,0,39,0,0,30,1
0,0,80,1,0,213,2
2,0,60,0,0,30,2
1,1,39,0,0,0,2
2,1,11,4,1,151,1
2,0,48,1,1,120,2
2,1,82,0,0,30,1
2,1,36,0,0,36,2
2,1,21,0,0,64,2
2,1,24,0,0,43,2
0,1,39,0,0,138,2
2,1,45,0,0,54,0
2,1,40,0,0,64,2
2,1,28,0,0,40,2
1,1,57,0,0,85,2
2,0,28,0,0,30,1
0,0,34,0,0,215,2
0,0,24,1,0,226,0
1,1,49,0,0,84,0
2,0,31,0,0,57,2
2,1,31,0,0,40,2
0,1,39,0,0,145,0
2,1,30,0,0,17,0
0,0,6,1,2,237,2
0,1,39,0,0,155,2
0,0,66,0,1,244,0
2,0,39,0,0,30,1
2,1,39,2,0,130,1
2,1,24,0,0,0,2
1,0,39,0,0,80,1
2,1,39,0,0,43,2
0,1,4,1,2,237,2
0,0,39,0,0,230,0
0,0,22,1,0,229,0
1,1,40,1,0,132,0
0,0,40,0,0,194,0
0,0,31,0,0,221,0
0,0,23,2,2,245,0
1,0,34,1,1,138,2
2,1,36,0,0,40,2
1,1,58,1,1,139,2
2,0,34,0,0,36,2
1,0,31,1,0,138,2
1,1,70,0,0,91,2
0,0,42,0,2,239,2
0,0,54,1,1,234,0
2,1,28,0,0,18,2
2,1,35,0,0,40,2
1,0,40,0,0,80,1
1,0,28,1,1,150,2
2,1,39,6,2,205,2
0,0,49,0,0,235,0
2,1,78,0,0,3,2
1,0,49,0,0,85,2
2,0,42,1,1,121,2
0,0,21,0,1,196,0
2,0,39,2,0,130,1
0,1,61,0,0,148,2
0,1,52,0,1,238,2
2,1,21,2,0,113,2
0,0,39,1,0,233,2
2,1,39,0,0,40,2
0,1,38,1,0,203,2
0,0,56,0,0,234,0
2,1,60,0,0,43,2
0,1,60,0,0,168,2
1,1,6,1,1,138,2
0,0,31,3,2,246,2
1,1,36,0,0,85,2
1,1,33,0,0,85,2
1,1,49,0,0,85,2
1,0,31,0,0,85,2
1,0,54,0,0,85,2
2,0,39,1,0,109,2
2,1,7,1,1,107,2
2,1,57,0,0,54,2
2,1,29,0,0,60,2
0,1,39,0,0,167,2
2,1,20,1,1,17,0
2,1,33,1,0,112,2
2,1,39,0,0,16,0
2,1,36,0,0,64,2
0,0,28,0,1,190,2
1,0,52,0,0,85,2
2,0,39,0,0,38,1
2,0,39,0,0,38,1
2,1,54,1,4,147,2
1,1,38,1,0,145,0
2,0,60,0,1,94,0
2,1,48,0,0,12,2
2,1,39,1,0,102,1
2,1,40,0,0,18,2
0,0,77,1,0,209,0
2,0,39,0,0,17,0
2,0,39,0,0,30,1
0,0,31,0,0,204,0
0,1,33,1,0,191,0
2,1,23,1,0,6,2
2,1,24,0,0,43,2
0,1,28,0,0,235,0
2,0,7,3,1,124,2
0,0,39,1,0,220,0
2,0,28,0,0,18,2
0,1,35,0,2,241,0
2,1,25,0,0,1,0
2,1,24,0,0,31,2
0,0,57,0,0,243,0
2,0,5,0,2,104,0
2,1,43,0,0,41,2
0,0,48,1,0,187,2
2,1,39,0,0,40,2
1,1,23,0,0,208,2
2,1,5,5,2,179,2
1,0,49,0,0,85,2
2,1,39,0,0,26,1
1,0,22,0,0,77,0
0,1,49,1,2,232,2
2,1,27,0,0,33,2
2,1,36,2,0,41,2
0,0,29,1,0,231,0
